user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
multiscale,smooth,chebyshev,sharp,original,smooth,0.3306,0.2621,0.3833,False,2025-06-12T12:24:16.070615
chebyshev,sharp,parametric,butterworth,laguerre,gaussian,0.3239,0.2634,0.3814,False,2025-06-12T12:24:18.666765
enhanced_basis,smooth,chebyshev,sharp,original,smooth,0.3209,0.2623,0.3786,False,2025-06-12T12:24:21.025603
spectral_basis,golden_036,multiscale,butterworth,legendre,smooth,0.2959,0.2498,0.3561,False,2025-06-12T12:24:23.117049
original,smooth,original,sharp,original,smooth,0.3187,0.2601,0.3744,False,2025-06-12T12:24:25.451755
hermite,butterworth,bernstein,golden_036,bandstop,notch,0.2997,0.2429,0.3391,False,2025-06-12T12:24:28.421455
harmonic,butterworth,jacobi,notch,spectral_basis,bandpass,0.2954,0.2442,0.3504,False,2025-06-12T12:24:30.760087
parametric,butterworth,ensemble,sharp,bernstein,band_stop,0.3223,0.2611,0.3768,False,2025-06-12T12:24:33.717337
laguerre,gaussian,chebyshev,golden_036,chebyshev,butterworth,0.3134,0.2589,0.3725,False,2025-06-12T12:24:36.048639
laguerre,bandpass,laguerre,bandpass,golden,sharp,0.3028,0.2522,0.3607,False,2025-06-12T12:24:38.119304
bandstop,notch,hermite,band_stop,golden,notch,0.3081,0.258,0.3691,False,2025-06-12T12:24:40.190848
original,band_stop,chebyshev,bandpass,adaptive_bandstop,smooth,0.3012,0.2551,0.3624,False,2025-06-12T12:24:42.274499
jacobi,golden_036,bernstein,smooth,spectral_basis,smooth,0.3147,0.2593,0.3729,False,2025-06-12T12:24:44.345083
multiscale,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:24:46.932733
original,golden_036,adaptive_bandstop,butterworth,laguerre,bandpass,0.3155,0.2582,0.3722,False,2025-06-12T12:24:49.297240
harmonic,golden_036,harmonic,gaussian,spectral_basis,notch,0.2957,0.2437,0.3497,False,2025-06-12T12:24:51.629707
original,notch,ensemble,golden_036,golden,smooth,0.3149,0.2589,0.3733,False,2025-06-12T12:24:53.981777
chebyshev,bandpass,chebyshev,gaussian,golden,notch,0.3173,0.2606,0.3748,False,2025-06-12T12:24:56.308016
hermite,butterworth,ensemble,gaussian,legendre,band_stop,0.29,0.2356,0.3248,False,2025-06-12T12:24:58.397402
ensemble,smooth,harmonic,butterworth,bernstein,sharp,0.3127,0.2583,0.3705,False,2025-06-12T12:25:00.767290
bernstein,band_stop,bernstein,gaussian,bernstein,golden_036,0.3212,0.2608,0.3781,False,2025-06-12T12:25:02.841942
parametric,gaussian,hermite,smooth,spectral_basis,golden_036,0.325,0.2652,0.3827,False,2025-06-12T12:25:05.443432
bandstop,golden_036,jacobi,golden_036,legendre,bandpass,0.3085,0.2574,0.3689,False,2025-06-12T12:25:07.494924
multiscale,smooth,legendre,butterworth,jacobi,smooth,0.3295,0.2602,0.3813,False,2025-06-12T12:25:09.553787
legendre,bandpass,adaptive_bandstop,bandpass,spectral_basis,sharp,0.3132,0.256,0.3696,False,2025-06-12T12:25:11.870850
harmonic,notch,bandstop,golden_036,ensemble,gaussian,0.2888,0.2438,0.3481,False,2025-06-12T12:25:13.947222
bandstop,notch,enhanced_basis,bandpass,legendre,notch,0.3072,0.256,0.367,False,2025-06-12T12:25:16.006122
golden,bandpass,original,notch,jacobi,smooth,0.2922,0.2463,0.3514,False,2025-06-12T12:25:18.099919
laguerre,butterworth,harmonic,golden_036,laguerre,band_stop,0.3179,0.2614,0.3758,False,2025-06-12T12:25:20.697840
spectral_basis,bandpass,parametric,band_stop,bernstein,sharp,0.295,0.2486,0.3545,False,2025-06-12T12:25:23.019847
bernstein,band_stop,harmonic,notch,harmonic,sharp,0.3197,0.2605,0.3767,False,2025-06-12T12:25:25.068531
legendre,notch,legendre,smooth,bandstop,butterworth,0.3171,0.2606,0.3749,False,2025-06-12T12:25:27.374606
spectral_basis,sharp,original,smooth,legendre,notch,0.2908,0.2443,0.349,False,2025-06-12T12:25:29.428512
original,band_stop,spectral_basis,notch,enhanced_basis,butterworth,0.3037,0.2561,0.3642,False,2025-06-12T12:25:31.494359
hermite,butterworth,harmonic,smooth,chebyshev,butterworth,0.2927,0.2367,0.3297,False,2025-06-12T12:25:33.598732
jacobi,bandpass,enhanced_basis,golden_036,parametric,band_stop,0.3156,0.2583,0.3721,False,2025-06-12T12:25:35.935673
multiscale,band_stop,adaptive_bandstop,gaussian,legendre,bandpass,0.3256,0.2583,0.3774,False,2025-06-12T12:25:38.003999
spectral_basis,sharp,enhanced_basis,butterworth,hermite,gaussian,0.2723,0.2302,0.3294,False,2025-06-12T12:25:40.306500
hermite,sharp,ensemble,sharp,spectral_basis,bandpass,0.3035,0.2518,0.3619,False,2025-06-12T12:25:42.697538
ensemble,smooth,laguerre,band_stop,hermite,golden_036,0.2946,0.2453,0.3521,False,2025-06-12T12:25:45.353712
bernstein,band_stop,laguerre,butterworth,bernstein,gaussian,0.3188,0.2591,0.3746,False,2025-06-12T12:25:47.431698
spectral_basis,butterworth,bandstop,bandpass,enhanced_basis,golden_036,0.2996,0.2514,0.3579,False,2025-06-12T12:25:50.037736
adaptive_bandstop,golden_036,golden,sharp,chebyshev,band_stop,0.3049,0.2545,0.3641,False,2025-06-12T12:25:52.096618
parametric,notch,hermite,smooth,ensemble,gaussian,0.327,0.2648,0.383,False,2025-06-12T12:25:54.732821
spectral_basis,sharp,original,butterworth,jacobi,golden_036,0.2908,0.2445,0.3494,False,2025-06-12T12:25:56.814666
spectral_basis,bandpass,original,bandpass,ensemble,notch,0.2911,0.2459,0.3503,False,2025-06-12T12:25:58.890941
laguerre,notch,golden,butterworth,spectral_basis,smooth,0.3136,0.2581,0.3722,False,2025-06-12T12:26:00.951113
harmonic,gaussian,parametric,notch,bandstop,butterworth,0.2936,0.2483,0.3548,False,2025-06-12T12:26:03.016020
laguerre,notch,parametric,gaussian,golden,gaussian,0.3177,0.26,0.3753,False,2025-06-12T12:26:05.100300
chebyshev,smooth,jacobi,sharp,original,sharp,0.3191,0.2605,0.3769,False,2025-06-12T12:26:07.173867
laguerre,butterworth,ensemble,notch,legendre,bandpass,0.3134,0.2587,0.3721,False,2025-06-12T12:26:09.561548
spectral_basis,smooth,original,sharp,original,butterworth,0.2917,0.2459,0.3505,False,2025-06-12T12:26:11.631245
legendre,smooth,multiscale,butterworth,ensemble,sharp,0.3201,0.2622,0.3772,False,2025-06-12T12:26:14.536803
multiscale,smooth,laguerre,bandpass,multiscale,butterworth,0.3256,0.2572,0.3761,False,2025-06-12T12:26:16.859290
enhanced_basis,gaussian,ensemble,smooth,ensemble,butterworth,0.319,0.2611,0.3765,False,2025-06-12T12:26:19.287249
adaptive_bandstop,gaussian,legendre,band_stop,spectral_basis,butterworth,0.3016,0.2514,0.3605,False,2025-06-12T12:26:21.338085
harmonic,bandpass,original,sharp,multiscale,sharp,0.2965,0.2431,0.3496,False,2025-06-12T12:26:24.180006
ensemble,band_stop,spectral_basis,smooth,laguerre,gaussian,0.3154,0.2594,0.3717,False,2025-06-12T12:26:26.555243
harmonic,butterworth,adaptive_bandstop,gaussian,ensemble,gaussian,0.2807,0.2371,0.3377,False,2025-06-12T12:26:28.645574
adaptive_bandstop,butterworth,legendre,butterworth,golden,sharp,0.3019,0.2514,0.3607,False,2025-06-12T12:26:30.699018
spectral_basis,golden_036,parametric,notch,jacobi,notch,0.2953,0.2486,0.3546,False,2025-06-12T12:26:32.772520
jacobi,notch,harmonic,sharp,golden,butterworth,0.3168,0.2603,0.3736,False,2025-06-12T12:26:35.128750
enhanced_basis,gaussian,jacobi,butterworth,spectral_basis,golden_036,0.318,0.2607,0.3757,False,2025-06-12T12:26:37.481235
laguerre,gaussian,laguerre,smooth,jacobi,golden_036,0.3127,0.2578,0.3706,False,2025-06-12T12:26:39.562263
chebyshev,sharp,hermite,smooth,enhanced_basis,butterworth,0.3194,0.262,0.3774,False,2025-06-12T12:26:41.628466
bandstop,band_stop,spectral_basis,band_stop,multiscale,sharp,0.3068,0.256,0.3668,False,2025-06-12T12:26:43.708893
golden,butterworth,harmonic,notch,adaptive_bandstop,sharp,0.2944,0.2478,0.3522,False,2025-06-12T12:26:45.780573
chebyshev,notch,hermite,band_stop,harmonic,butterworth,0.3147,0.2588,0.3722,False,2025-06-12T12:26:47.844662
legendre,golden_036,original,gaussian,original,notch,0.3162,0.2593,0.3736,False,2025-06-12T12:26:49.929835
original,golden_036,parametric,notch,bernstein,butterworth,0.32,0.2598,0.3768,False,2025-06-12T12:26:52.288656
chebyshev,gaussian,golden,butterworth,adaptive_bandstop,bandpass,0.321,0.2621,0.3778,False,2025-06-12T12:26:54.381436
jacobi,band_stop,parametric,butterworth,ensemble,band_stop,0.3186,0.261,0.3762,False,2025-06-12T12:26:56.468499
bernstein,smooth,harmonic,bandpass,golden,bandpass,0.3205,0.2615,0.3767,False,2025-06-12T12:26:58.541163
parametric,smooth,laguerre,gaussian,adaptive_bandstop,band_stop,0.3172,0.2585,0.3716,False,2025-06-12T12:27:00.602120
multiscale,sharp,legendre,butterworth,golden,sharp,0.3309,0.2615,0.383,False,2025-06-12T12:27:03.470362
bernstein,bandpass,golden,notch,original,butterworth,0.3217,0.2621,0.3764,False,2025-06-12T12:27:06.059399
multiscale,smooth,original,butterworth,ensemble,gaussian,0.3284,0.2597,0.38,False,2025-06-12T12:27:08.168927
laguerre,butterworth,spectral_basis,smooth,ensemble,butterworth,0.3167,0.2599,0.3746,False,2025-06-12T12:27:10.297603
spectral_basis,band_stop,bernstein,golden_036,original,butterworth,0.3012,0.2527,0.3596,False,2025-06-12T12:27:12.934176
spectral_basis,golden_036,chebyshev,golden_036,golden,sharp,0.2912,0.2446,0.3491,False,2025-06-12T12:27:16.273521
hermite,gaussian,ensemble,band_stop,ensemble,bandpass,0.3088,0.2486,0.3582,False,2025-06-12T12:27:19.126965
jacobi,bandpass,legendre,golden_036,spectral_basis,sharp,0.3153,0.2594,0.373,False,2025-06-12T12:27:21.493878
enhanced_basis,band_stop,jacobi,band_stop,enhanced_basis,golden_036,0.3214,0.2623,0.3788,False,2025-06-12T12:27:23.855810
legendre,sharp,enhanced_basis,bandpass,harmonic,sharp,0.3108,0.2559,0.3682,False,2025-06-12T12:27:26.211206
harmonic,smooth,enhanced_basis,notch,enhanced_basis,smooth,0.3081,0.2525,0.362,False,2025-06-12T12:27:28.551461
original,bandpass,parametric,bandpass,golden,bandpass,0.3268,0.2625,0.3818,False,2025-06-12T12:27:30.889612
adaptive_bandstop,butterworth,parametric,band_stop,ensemble,golden_036,0.304,0.254,0.3633,False,2025-06-12T12:27:33.026716
bandstop,sharp,chebyshev,gaussian,adaptive_bandstop,smooth,0.3096,0.2576,0.3692,False,2025-06-12T12:27:35.122588
parametric,golden_036,legendre,sharp,adaptive_bandstop,band_stop,0.3226,0.2612,0.3772,False,2025-06-12T12:27:38.317899
harmonic,butterworth,spectral_basis,gaussian,chebyshev,golden_036,0.2959,0.246,0.352,False,2025-06-12T12:27:40.733546
harmonic,gaussian,multiscale,notch,original,bandpass,0.298,0.2511,0.3587,False,2025-06-12T12:27:42.983865
multiscale,gaussian,hermite,bandpass,original,gaussian,0.334,0.2648,0.3869,False,2025-06-12T12:27:45.660429
harmonic,gaussian,legendre,band_stop,original,golden_036,0.2946,0.2489,0.3555,False,2025-06-12T12:27:47.798165
ensemble,band_stop,ensemble,sharp,ensemble,golden_036,0.3091,0.256,0.3672,False,2025-06-12T12:27:50.359830
jacobi,notch,ensemble,sharp,spectral_basis,sharp,0.3127,0.2572,0.3703,False,2025-06-12T12:27:52.779460
chebyshev,sharp,harmonic,band_stop,ensemble,bandpass,0.3161,0.2598,0.3734,False,2025-06-12T12:27:54.857742
chebyshev,butterworth,multiscale,golden_036,jacobi,band_stop,0.3195,0.2616,0.377,False,2025-06-12T12:27:57.172896
hermite,notch,parametric,band_stop,hermite,smooth,0.1164,0.1222,0.14,False,2025-06-12T12:27:59.296305
chebyshev,band_stop,ensemble,smooth,hermite,butterworth,0.3071,0.2537,0.3647,False,2025-06-12T12:28:01.453461
jacobi,sharp,harmonic,butterworth,adaptive_bandstop,golden_036,0.317,0.2612,0.3748,False,2025-06-12T12:28:03.613832
enhanced_basis,butterworth,original,butterworth,original,gaussian,0.3187,0.2598,0.3749,False,2025-06-12T12:28:06.055553
bandstop,band_stop,hermite,notch,harmonic,sharp,0.3083,0.2569,0.3687,False,2025-06-12T12:28:08.269631
chebyshev,notch,golden,sharp,enhanced_basis,butterworth,0.3201,0.2617,0.3772,False,2025-06-12T12:28:10.387593
harmonic,butterworth,chebyshev,notch,hermite,band_stop,0.2744,0.2291,0.3297,False,2025-06-12T12:28:12.802599
adaptive_bandstop,smooth,enhanced_basis,notch,bandstop,smooth,0.304,0.2534,0.3632,False,2025-06-12T12:28:14.947636
laguerre,sharp,bandstop,smooth,parametric,golden_036,0.3207,0.26,0.3765,False,2025-06-12T12:28:17.086489
bandstop,notch,original,gaussian,harmonic,bandpass,0.3071,0.2549,0.3657,False,2025-06-12T12:28:19.184620
spectral_basis,bandpass,harmonic,butterworth,laguerre,notch,0.2975,0.2499,0.3565,False,2025-06-12T12:28:21.291139
adaptive_bandstop,butterworth,original,butterworth,bandstop,band_stop,0.306,0.2555,0.3655,False,2025-06-12T12:28:23.391514
ensemble,sharp,enhanced_basis,notch,jacobi,band_stop,0.3105,0.2562,0.3683,False,2025-06-12T12:28:25.796553
bandstop,gaussian,chebyshev,bandpass,harmonic,notch,0.3079,0.2564,0.3675,False,2025-06-12T12:28:27.852649
legendre,band_stop,golden,band_stop,adaptive_bandstop,gaussian,0.3181,0.2598,0.3737,False,2025-06-12T12:28:30.217128
bandstop,notch,chebyshev,band_stop,bernstein,butterworth,0.3076,0.2568,0.368,False,2025-06-12T12:28:32.328852
spectral_basis,gaussian,spectral_basis,gaussian,jacobi,butterworth,0.2928,0.2465,0.3511,False,2025-06-12T12:28:34.406194
original,butterworth,jacobi,sharp,jacobi,bandpass,0.3178,0.2602,0.3751,False,2025-06-12T12:28:36.811578
multiscale,golden_036,laguerre,band_stop,hermite,smooth,0.3149,0.2493,0.3658,False,2025-06-12T12:28:38.945471
multiscale,golden_036,jacobi,band_stop,spectral_basis,bandpass,0.3298,0.261,0.3826,False,2025-06-12T12:28:41.583332
hermite,bandpass,legendre,butterworth,golden,sharp,0.2809,0.2278,0.3156,False,2025-06-12T12:28:44.548615
harmonic,gaussian,hermite,bandpass,laguerre,bandpass,0.3179,0.2603,0.3707,False,2025-06-12T12:28:47.443263
bernstein,gaussian,bernstein,butterworth,bernstein,smooth,0.3208,0.2616,0.3782,False,2025-06-12T12:28:49.549628
hermite,butterworth,legendre,notch,ensemble,gaussian,0.2903,0.2351,0.3267,False,2025-06-12T12:28:51.950688
jacobi,band_stop,chebyshev,smooth,laguerre,golden_036,0.3229,0.2633,0.3785,False,2025-06-12T12:28:54.626272
bernstein,band_stop,bandstop,sharp,chebyshev,butterworth,0.3218,0.2618,0.3786,False,2025-06-12T12:28:56.749779
legendre,gaussian,hermite,butterworth,laguerre,golden_036,0.3229,0.2627,0.3802,False,2025-06-12T12:28:58.877793
bernstein,smooth,multiscale,sharp,enhanced_basis,smooth,0.3229,0.2631,0.3798,False,2025-06-12T12:29:00.965578
multiscale,notch,parametric,notch,original,golden_036,0.3321,0.2633,0.3847,False,2025-06-12T12:29:03.402192
jacobi,butterworth,enhanced_basis,sharp,jacobi,gaussian,0.3161,0.2584,0.3731,False,2025-06-12T12:29:05.544514
ensemble,sharp,laguerre,smooth,multiscale,band_stop,0.3056,0.2525,0.3634,False,2025-06-12T12:29:08.552480
ensemble,golden_036,hermite,band_stop,ensemble,band_stop,0.3126,0.2589,0.3719,False,2025-06-12T12:29:11.306671
ensemble,gaussian,hermite,gaussian,adaptive_bandstop,notch,0.3134,0.26,0.3731,False,2025-06-12T12:29:13.727358
original,golden_036,multiscale,bandpass,enhanced_basis,band_stop,0.3168,0.2607,0.3743,False,2025-06-12T12:29:16.137021
multiscale,golden_036,hermite,band_stop,harmonic,gaussian,0.3299,0.2612,0.3822,False,2025-06-12T12:29:18.310454
ensemble,butterworth,chebyshev,notch,original,sharp,0.3165,0.26,0.3733,False,2025-06-12T12:29:20.930289
chebyshev,notch,bandstop,gaussian,harmonic,gaussian,0.3138,0.2586,0.3718,False,2025-06-12T12:29:23.178812
parametric,gaussian,spectral_basis,notch,enhanced_basis,smooth,0.3239,0.2624,0.3791,False,2025-06-12T12:29:26.006952
bandstop,smooth,adaptive_bandstop,band_stop,spectral_basis,band_stop,0.304,0.253,0.3625,False,2025-06-12T12:29:28.471592
jacobi,smooth,chebyshev,butterworth,ensemble,butterworth,0.3134,0.258,0.3715,False,2025-06-12T12:29:31.271099
golden,bandpass,enhanced_basis,butterworth,bernstein,golden_036,0.2911,0.2454,0.3503,False,2025-06-12T12:29:34.062726
adaptive_bandstop,sharp,legendre,smooth,multiscale,golden_036,0.3009,0.2516,0.3603,False,2025-06-12T12:29:36.554938
adaptive_bandstop,smooth,harmonic,butterworth,hermite,butterworth,0.2969,0.2493,0.3566,False,2025-06-12T12:29:39.205514
enhanced_basis,golden_036,spectral_basis,butterworth,spectral_basis,golden_036,0.3189,0.261,0.376,False,2025-06-12T12:29:42.209999
laguerre,butterworth,chebyshev,sharp,bernstein,bandpass,0.3125,0.2585,0.3715,False,2025-06-12T12:29:45.379852
chebyshev,sharp,laguerre,smooth,multiscale,band_stop,0.3111,0.2558,0.367,False,2025-06-12T12:29:47.854342
adaptive_bandstop,smooth,ensemble,notch,bandstop,smooth,0.3067,0.2563,0.3665,False,2025-06-12T12:29:50.359895
bernstein,gaussian,enhanced_basis,smooth,jacobi,gaussian,0.3176,0.2587,0.3738,False,2025-06-12T12:29:52.948927
chebyshev,bandpass,parametric,gaussian,bernstein,smooth,0.3184,0.2615,0.3764,False,2025-06-12T12:29:55.771222
ensemble,band_stop,spectral_basis,butterworth,hermite,band_stop,0.2978,0.2475,0.3553,False,2025-06-12T12:29:58.568210
laguerre,band_stop,original,butterworth,adaptive_bandstop,bandpass,0.3134,0.258,0.3708,False,2025-06-12T12:30:01.355083
golden,bandpass,harmonic,smooth,laguerre,gaussian,0.3002,0.2515,0.358,False,2025-06-12T12:30:04.473198
legendre,bandpass,original,gaussian,bernstein,band_stop,0.3143,0.2569,0.37,False,2025-06-12T12:30:07.299341
chebyshev,band_stop,ensemble,smooth,harmonic,gaussian,0.3145,0.2583,0.372,False,2025-06-12T12:30:09.701617
harmonic,smooth,bernstein,gaussian,multiscale,sharp,0.2887,0.2441,0.3486,False,2025-06-12T12:30:11.842056
enhanced_basis,bandpass,adaptive_bandstop,gaussian,laguerre,notch,0.3192,0.2604,0.3762,False,2025-06-12T12:30:14.197496
multiscale,bandpass,chebyshev,bandpass,multiscale,butterworth,0.3266,0.2578,0.3787,False,2025-06-12T12:30:16.277060
hermite,bandpass,bernstein,gaussian,parametric,butterworth,0.2916,0.2383,0.3274,False,2025-06-12T12:30:18.373056
ensemble,golden_036,enhanced_basis,band_stop,adaptive_bandstop,bandpass,0.3112,0.2563,0.368,False,2025-06-12T12:30:20.826273
hermite,notch,legendre,golden_036,golden,smooth,0.2815,0.2282,0.317,False,2025-06-12T12:30:23.781229
ensemble,golden_036,bernstein,smooth,enhanced_basis,gaussian,0.315,0.2592,0.372,False,2025-06-12T12:30:25.908229
multiscale,band_stop,bernstein,bandpass,bernstein,sharp,0.3293,0.2606,0.3819,False,2025-06-12T12:30:28.849751
golden,bandpass,ensemble,butterworth,original,sharp,0.2973,0.2497,0.3554,False,2025-06-12T12:30:31.282255
golden,golden_036,ensemble,notch,parametric,smooth,0.2898,0.244,0.3487,False,2025-06-12T12:30:33.406322
hermite,butterworth,laguerre,bandpass,original,gaussian,0.2976,0.2432,0.3369,False,2025-06-12T12:30:36.094516
legendre,sharp,golden,butterworth,laguerre,butterworth,0.3168,0.2602,0.3744,False,2025-06-12T12:30:38.220108
ensemble,bandpass,bernstein,gaussian,parametric,golden_036,0.3117,0.2578,0.3705,False,2025-06-12T12:30:40.356023
parametric,butterworth,adaptive_bandstop,bandpass,multiscale,notch,0.3179,0.2552,0.3701,False,2025-06-12T12:30:43.230454
ensemble,band_stop,bernstein,smooth,ensemble,bandpass,0.3095,0.256,0.3678,False,2025-06-12T12:30:45.686800
enhanced_basis,bandpass,bandstop,sharp,enhanced_basis,bandpass,0.3219,0.2629,0.3791,False,2025-06-12T12:30:48.111207
multiscale,sharp,spectral_basis,golden_036,jacobi,bandpass,0.3301,0.2612,0.3819,False,2025-06-12T12:30:50.229802
jacobi,sharp,legendre,butterworth,chebyshev,notch,0.3191,0.2608,0.3763,False,2025-06-12T12:30:52.853878
ensemble,golden_036,spectral_basis,sharp,adaptive_bandstop,golden_036,0.3115,0.2573,0.3686,False,2025-06-12T12:30:55.276505
multiscale,sharp,harmonic,golden_036,multiscale,smooth,0.328,0.2601,0.3802,False,2025-06-12T12:30:57.405508
spectral_basis,bandpass,multiscale,bandpass,bandstop,notch,0.2967,0.25,0.3563,False,2025-06-12T12:30:59.507308
harmonic,gaussian,hermite,notch,laguerre,gaussian,0.314,0.2589,0.3688,False,2025-06-12T12:31:01.890315
chebyshev,butterworth,harmonic,notch,original,butterworth,0.3211,0.262,0.3781,False,2025-06-12T12:31:04.011153
hermite,butterworth,chebyshev,sharp,hermite,bandpass,0.0796,0.1016,0.105,False,2025-06-12T12:31:06.110083
jacobi,notch,bandstop,band_stop,original,bandpass,0.3212,0.2627,0.3775,False,2025-06-12T12:31:08.481753
adaptive_bandstop,butterworth,parametric,gaussian,multiscale,smooth,0.3014,0.2523,0.3611,False,2025-06-12T12:31:10.590903
bernstein,gaussian,spectral_basis,band_stop,legendre,band_stop,0.3213,0.2614,0.3783,False,2025-06-12T12:31:12.699936
golden,smooth,original,butterworth,legendre,bandpass,0.2904,0.2452,0.3503,False,2025-06-12T12:31:14.799153
golden,band_stop,laguerre,sharp,golden,sharp,0.2854,0.2395,0.3432,False,2025-06-12T12:31:16.890621
bandstop,butterworth,chebyshev,golden_036,multiscale,sharp,0.3062,0.2556,0.3664,False,2025-06-12T12:31:18.993134
legendre,sharp,bernstein,bandpass,enhanced_basis,gaussian,0.3228,0.2631,0.3785,False,2025-06-12T12:31:21.641433
multiscale,smooth,harmonic,golden_036,laguerre,gaussian,0.3316,0.263,0.3837,False,2025-06-12T12:31:23.957997
hermite,bandpass,enhanced_basis,golden_036,multiscale,gaussian,0.2815,0.2279,0.3078,False,2025-06-12T12:31:26.290175
harmonic,sharp,golden,notch,jacobi,gaussian,0.2933,0.2439,0.3489,False,2025-06-12T12:31:28.627532
spectral_basis,gaussian,hermite,notch,chebyshev,notch,0.2978,0.2506,0.3573,False,2025-06-12T12:31:30.692295
ensemble,bandpass,adaptive_bandstop,bandpass,adaptive_bandstop,butterworth,0.3081,0.2546,0.3645,False,2025-06-12T12:31:33.066590
multiscale,sharp,jacobi,notch,parametric,notch,0.3275,0.2587,0.3794,False,2025-06-12T12:31:35.165099
laguerre,gaussian,legendre,butterworth,adaptive_bandstop,golden_036,0.3163,0.2605,0.3745,False,2025-06-12T12:31:37.564371
golden,smooth,original,sharp,adaptive_bandstop,notch,0.292,0.246,0.3503,False,2025-06-12T12:31:39.632627
bernstein,notch,enhanced_basis,notch,parametric,butterworth,0.317,0.2582,0.3731,False,2025-06-12T12:31:41.728650
bernstein,band_stop,original,butterworth,chebyshev,golden_036,0.3216,0.2609,0.3776,False,2025-06-12T12:31:43.851188
chebyshev,notch,hermite,butterworth,legendre,golden_036,0.3157,0.2605,0.3747,False,2025-06-12T12:31:46.228337
multiscale,gaussian,adaptive_bandstop,sharp,legendre,band_stop,0.327,0.2586,0.3776,False,2025-06-12T12:31:48.310655
harmonic,gaussian,chebyshev,bandpass,parametric,bandpass,0.2878,0.2433,0.3468,False,2025-06-12T12:31:50.366275
legendre,butterworth,chebyshev,band_stop,enhanced_basis,smooth,0.3196,0.2613,0.3768,False,2025-06-12T12:31:52.587943
parametric,butterworth,original,smooth,harmonic,notch,0.3157,0.2574,0.3712,False,2025-06-12T12:31:54.686924
chebyshev,sharp,multiscale,band_stop,parametric,band_stop,0.3148,0.2587,0.3719,False,2025-06-12T12:31:56.788756
bernstein,smooth,legendre,gaussian,enhanced_basis,notch,0.3216,0.2618,0.378,False,2025-06-12T12:31:58.874607
golden,golden_036,adaptive_bandstop,band_stop,bernstein,sharp,0.2895,0.2429,0.3469,False,2025-06-12T12:32:01.949199
hermite,bandpass,enhanced_basis,smooth,bernstein,golden_036,0.2649,0.2185,0.2882,False,2025-06-12T12:32:04.014850
spectral_basis,sharp,bandstop,bandpass,bandstop,sharp,0.2928,0.246,0.3525,False,2025-06-12T12:32:06.393085
spectral_basis,smooth,bandstop,gaussian,bandstop,notch,0.293,0.2461,0.3525,False,2025-06-12T12:32:08.717256
legendre,gaussian,laguerre,gaussian,ensemble,sharp,0.3172,0.2593,0.3737,False,2025-06-12T12:32:10.808979
harmonic,sharp,chebyshev,band_stop,parametric,smooth,0.2871,0.2424,0.3454,False,2025-06-12T12:32:12.882887
adaptive_bandstop,butterworth,bandstop,sharp,jacobi,smooth,0.3047,0.2543,0.3638,False,2025-06-12T12:32:14.952637
